area_code,reference_area,area_type,year,measure_type,value,units
S12000026,Scottish Borders,Local Authority,2006,Ratio,7.5,Percent Of 16 to 19 Year Olds
S12000036,City of Edinburgh,Local Authority,2006,Count,1700,16 to 19 Year Olds
S12000049,Glasgow City,Local Authority,2006,Ratio,10.5,Percent Of 16 to 19 Year Olds
S12000049,Glasgow City,Local Authority,2006,Count,3330,16 to 19 Year Olds
S12000050,North Lanarkshire,Local Authority,2006,Ratio,9.7,Percent Of 16 to 19 Year Olds
S12000027,Shetland Islands,Local Authority,2006,Ratio,5.5,Percent Of 16 to 19 Year Olds
S12000023,Orkney Islands,Local Authority,2006,Count,60,16 to 19 Year Olds
S12000047,Fife,Local Authority,2006,Count,1800,16 to 19 Year Olds
S12000034,Aberdeenshire,Local Authority,2006,Count,620,16 to 19 Year Olds
S12000029,South Lanarkshire,Local Authority,2006,Ratio,8.6,Percent Of 16 to 19 Year Olds
S12000029,South Lanarkshire,Local Authority,2006,Count,1330,16 to 19 Year Olds
S12000010,East Lothian,Local Authority,2006,Ratio,9.3,Percent Of 16 to 19 Year Olds
S12000017,Highland,Local Authority,2006,Count,800,16 to 19 Year Olds
S12000048,Perth and Kinross,Local Authority,2006,Ratio,6.4,Percent Of 16 to 19 Year Olds
S12000019,Midlothian,Local Authority,2006,Count,420,16 to 19 Year Olds
S12000030,Stirling,Local Authority,2006,Ratio,5.6,Percent Of 16 to 19 Year Olds
S12000035,Argyll and Bute,Local Authority,2006,Ratio,8.5,Percent Of 16 to 19 Year Olds
S12000033,Aberdeen City,Local Authority,2006,Count,720,16 to 19 Year Olds
S12000039,West Dunbartonshire,Local Authority,2006,Ratio,12.8,Percent Of 16 to 19 Year Olds
S12000011,East Renfrewshire,Local Authority,2006,Count,250,16 to 19 Year Olds
S12000014,Falkirk,Local Authority,2006,Count,690,16 to 19 Year Olds
S12000041,Angus,Local Authority,2007,Ratio,8,Percent Of 16 to 19 Year Olds
S12000040,West Lothian,Local Authority,2007,Ratio,10.6,Percent Of 16 to 19 Year Olds
S12000042,Dundee City,Local Authority,2007,Ratio,9.3,Percent Of 16 to 19 Year Olds
S12000030,Stirling,Local Authority,2007,Count,300,16 to 19 Year Olds
S12000049,Glasgow City,Local Authority,2007,Ratio,9.3,Percent Of 16 to 19 Year Olds
S12000039,West Dunbartonshire,Local Authority,2007,Ratio,11,Percent Of 16 to 19 Year Olds
S12000028,South Ayrshire,Local Authority,2007,Count,470,16 to 19 Year Olds
S12000029,South Lanarkshire,Local Authority,2007,Count,1170,16 to 19 Year Olds
S12000050,North Lanarkshire,Local Authority,2007,Ratio,9.5,Percent Of 16 to 19 Year Olds
S12000035,Argyll and Bute,Local Authority,2007,Ratio,7.7,Percent Of 16 to 19 Year Olds
S12000029,South Lanarkshire,Local Authority,2007,Ratio,7.5,Percent Of 16 to 19 Year Olds
S12000034,Aberdeenshire,Local Authority,2007,Ratio,4.6,Percent Of 16 to 19 Year Olds
S12000033,Aberdeen City,Local Authority,2007,Ratio,5.7,Percent Of 16 to 19 Year Olds
