FeatureCode,DateCode,Measurement,Units,Value,Gender,Working Pattern,Population Group
S12000045,2007,Mean,Pounds (GBP),540.8,Male,Full Time,Workplace Based
S12000045,2000,Mean,Pounds (GBP),440.7,Male,Full Time,Workplace Based
S12000045,2002,Mean,Pounds (GBP),578.8,Male,All Patterns,Residence Based
S12000018,2005,Mean,Pounds (GBP),463.8,Male,All Patterns,Residence Based
S12000045,2007,Median,Pounds (GBP),522.6,Male,Full Time,Workplace Based
S12000029,2009,Mean,Pounds (GBP),541.7,Male,All Patterns,Residence Based
S12000014,2000,Median,Pounds (GBP),393.2,Male,Full Time,Workplace Based
S12000006,2000,Median,Pounds (GBP),329.7,Male,Full Time,Workplace Based
S12000008,2008,Mean,Pounds (GBP),497.4,Male,All Patterns,Residence Based
S12000027,2010,Median,Pounds (GBP),531.7,Male,All Patterns,Residence Based
S12000038,2011,Median,Pounds (GBP),496.6,Male,All Patterns,Residence Based
S12000038,2007,Median,Pounds (GBP),479.6,Male,Full Time,Residence Based
S12000039,2003,Mean,Pounds (GBP),482.8,Male,Full Time,Workplace Based
S12000017,1997,Mean,Pounds (GBP),337.1,Male,Full Time,Workplace Based
S12000017,1997,Median,Pounds (GBP),299.5,Male,Full Time,Workplace Based
S12000021,1997,Mean,Pounds (GBP),369.1,Male,Full Time,Workplace Based
S12000013,1997,Mean,Pounds (GBP),342.6,Male,Full Time,Workplace Based
S12000035,2013,Median,Pounds (GBP),494.2,Male,All Patterns,Residence Based
S12000026,2011,Mean,Pounds (GBP),514.8,Male,All Patterns,Residence Based
S12000041,2006,Median,Pounds (GBP),403.6,Male,Full Time,Workplace Based
S12000008,2013,Median,Pounds (GBP),464.5,Male,All Patterns,Residence Based
S12000039,2003,Median,Pounds (GBP),425.4,Male,Full Time,Workplace Based
S12000013,2010,Mean,Pounds (GBP),415.5,Male,All Patterns,Residence Based
S12000041,2007,Median,Pounds (GBP),487.1,Male,Full Time,Residence Based
S12000040,2003,Median,Pounds (GBP),396.1,Male,Full Time,Workplace Based
S12000035,2016,Mean,Pounds (GBP),588.9,Male,All Patterns,Residence Based
S12000011,1997,Mean,Pounds (GBP),303.2,Male,Full Time,Workplace Based
S12000008,1997,Mean,Pounds (GBP),342.1,Male,Full Time,Workplace Based
S12000005,2016,Mean,Pounds (GBP),625.3,Male,All Patterns,Residence Based
S12000045,2013,Mean,Pounds (GBP),757.2,Male,All Patterns,Residence Based
S12000013,2009,Mean,Pounds (GBP),538.5,Male,Full Time,Residence Based
S12000006,2016,Mean,Pounds (GBP),534.8,Male,All Patterns,Residence Based
S12000035,2016,Median,Pounds (GBP),512.8,Male,All Patterns,Residence Based
S92000003,2011,Mean,Pounds (GBP),563.9,Male,All Patterns,Residence Based
S12000008,1997,Median,Pounds (GBP),293.8,Male,Full Time,Workplace Based
S12000034,2007,Median,Pounds (GBP),530.1,Male,Full Time,Residence Based
S12000034,2007,Mean,Pounds (GBP),612.5,Male,Full Time,Residence Based
S12000035,2008,Median,Pounds (GBP),477.3,Male,Full Time,Residence Based
S12000030,2012,Median,Pounds (GBP),525.7,Male,All Patterns,Residence Based
S12000030,2007,Mean,Pounds (GBP),709.5,Male,Full Time,Residence Based
S12000027,2009,Mean,Pounds (GBP),592.6,Male,Full Time,Residence Based
S12000020,2010,Mean,Pounds (GBP),489.7,Male,All Patterns,Residence Based
S12000048,2012,Median,Pounds (GBP),484.5,Male,All Patterns,Residence Based
S12000027,1997,Median,Pounds (GBP),341.2,Male,Full Time,Workplace Based
S12000028,2012,Mean,Pounds (GBP),577.4,Male,All Patterns,Residence Based
S12000029,2012,Mean,Pounds (GBP),562.7,Male,All Patterns,Residence Based
S12000048,1997,Mean,Pounds (GBP),378.2,Male,Full Time,Workplace Based
S12000026,2007,Mean,Pounds (GBP),549.7,Male,Full Time,Residence Based
S12000050,2002,Mean,Pounds (GBP),418.6,Male,Full Time,Residence Based
S12000035,2012,Mean,Pounds (GBP),545,Male,All Patterns,Residence Based
S12000034,2008,Mean,Pounds (GBP),691.3,Male,Full Time,Residence Based
S92000003,2005,Median,Pounds (GBP),446.5,Male,Full Time,Residence Based
S12000023,2012,Mean,Pounds (GBP),441.7,Male,All Patterns,Residence Based
S12000048,1997,Median,Pounds (GBP),313.6,Male,Full Time,Workplace Based
S12000050,2002,Median,Pounds (GBP),380.1,Male,Full Time,Residence Based
S12000027,1997,Mean,Pounds (GBP),409.4,Male,Full Time,Workplace Based
S12000040,2009,Median,Pounds (GBP),475.4,Male,Full Time,Residence Based
S12000040,2009,Mean,Pounds (GBP),578.2,Male,Full Time,Residence Based
S12000006,2011,Mean,Pounds (GBP),521.7,Male,All Patterns,Residence Based
S12000013,2011,Mean,Pounds (GBP),430.1,Male,All Patterns,Residence Based
S12000030,2003,Mean,Pounds (GBP),495.3,Male,Full Time,Workplace Based
S12000017,2016,Median,Pounds (GBP),520,Male,All Patterns,Residence Based
S12000006,2016,Median,Pounds (GBP),460,Male,All Patterns,Residence Based
S92000003,2002,Mean,Pounds (GBP),479.9,Male,Full Time,Residence Based
S12000029,2012,Median,Pounds (GBP),501,Male,All Patterns,Residence Based
S12000042,2011,Median,Pounds (GBP),402.4,Male,All Patterns,Residence Based
S12000038,2012,Mean,Pounds (GBP),579.2,Male,All Patterns,Residence Based
S12000033,2007,Median,Pounds (GBP),503.5,Male,Full Time,Residence Based
S12000026,1997,Median,Pounds (GBP),277.3,Male,Full Time,Workplace Based
S12000038,2007,Mean,Pounds (GBP),547,Male,Full Time,Residence Based
S12000021,2010,Mean,Pounds (GBP),527.8,Male,All Patterns,Residence Based
S12000042,1997,Median,Pounds (GBP),320,Male,Full Time,Workplace Based
S12000011,1997,Median,Pounds (GBP),242.3,Male,Full Time,Workplace Based
S12000050,2004,Mean,Pounds (GBP),445.3,Male,Full Time,Residence Based
S12000041,2008,Median,Pounds (GBP),502.9,Male,Full Time,Residence Based
S12000021,2009,Mean,Pounds (GBP),537.6,Male,Full Time,Residence Based
S12000047,2011,Median,Pounds (GBP),491.6,Male,All Patterns,Residence Based
S12000039,2007,Median,Pounds (GBP),467.7,Male,Full Time,Residence Based
S12000021,2009,Median,Pounds (GBP),473.4,Male,Full Time,Residence Based
S12000030,2011,Median,Pounds (GBP),497.6,Male,All Patterns,Residence Based
S12000010,1997,Median,Pounds (GBP),336.1,Male,Full Time,Workplace Based
S12000005,2012,Median,Pounds (GBP),496.4,Male,All Patterns,Residence Based
S12000038,1997,Median,Pounds (GBP),345.7,Male,Full Time,Workplace Based
S12000030,2011,Mean,Pounds (GBP),719.1,Male,All Patterns,Residence Based
S12000005,2012,Mean,Pounds (GBP),579.7,Male,All Patterns,Residence Based
S12000028,2009,Mean,Pounds (GBP),614.1,Male,Full Time,Residence Based
S12000042,1997,Mean,Pounds (GBP),365.7,Male,Full Time,Workplace Based
S12000029,2007,Mean,Pounds (GBP),565,Male,Full Time,Residence Based
S12000035,2004,Median,Pounds (GBP),427.8,Male,Full Time,Workplace Based
S12000028,2007,Mean,Pounds (GBP),575.1,Male,Full Time,Residence Based
S12000041,2004,Mean,Pounds (GBP),419.2,Male,Full Time,Workplace Based
S12000006,2004,Median,Pounds (GBP),375,Male,Full Time,Workplace Based
S12000006,2004,Mean,Pounds (GBP),426.1,Male,Full Time,Workplace Based
S12000008,2004,Mean,Pounds (GBP),477.5,Male,Full Time,Workplace Based
S12000047,2011,Mean,Pounds (GBP),539.1,Male,All Patterns,Residence Based
S12000039,2005,Median,Pounds (GBP),425.4,Male,Full Time,Workplace Based
S12000013,2010,Median,Pounds (GBP),455.5,Male,All Patterns,Residence Based
S12000010,1997,Mean,Pounds (GBP),352.8,Male,Full Time,Workplace Based
S12000008,2004,Median,Pounds (GBP),433.1,Male,Full Time,Workplace Based
S12000038,2011,Mean,Pounds (GBP),564.9,Male,All Patterns,Residence Based
S12000021,2010,Median,Pounds (GBP),489.5,Male,All Patterns,Residence Based
S92000003,2007,Median,Pounds (GBP),480.9,Male,Full Time,Residence Based
S12000018,1997,Median,Pounds (GBP),315.4,Male,Full Time,Workplace Based
S12000036,2008,Median,Pounds (GBP),523.2,Male,Full Time,Residence Based
S12000039,2007,Mean,Pounds (GBP),526.2,Male,Full Time,Residence Based
S12000039,2006,Mean,Pounds (GBP),500.3,Male,Full Time,Residence Based
S12000014,1997,Mean,Pounds (GBP),380.1,Male,Full Time,Workplace Based
S12000041,2008,Mean,Pounds (GBP),565.2,Male,Full Time,Residence Based
S12000028,2011,Mean,Pounds (GBP),579.2,Male,All Patterns,Residence Based
S12000048,2010,Mean,Pounds (GBP),511.2,Male,All Patterns,Residence Based
S12000047,1997,Mean,Pounds (GBP),377.9,Male,Full Time,Workplace Based
S12000011,2011,Mean,Pounds (GBP),728.3,Male,All Patterns,Residence Based
S12000005,2016,Median,Pounds (GBP),517.1,Male,All Patterns,Residence Based
S12000047,1997,Median,Pounds (GBP),337.9,Male,Full Time,Workplace Based
S92000003,2002,Median,Pounds (GBP),412.5,Male,Full Time,Residence Based
S12000036,2008,Mean,Pounds (GBP),637.5,Male,Full Time,Residence Based
S12000013,2009,Median,Pounds (GBP),467.7,Male,Full Time,Residence Based
S12000028,2011,Median,Pounds (GBP),524.2,Male,All Patterns,Residence Based
S12000029,2009,Median,Pounds (GBP),532.6,Male,Full Time,Residence Based
S12000045,1997,Mean,Pounds (GBP),381.9,Male,Full Time,Workplace Based
S92000003,2005,Mean,Pounds (GBP),520.6,Male,Full Time,Residence Based
S12000029,2007,Median,Pounds (GBP),497,Male,Full Time,Residence Based
S92000003,2006,Mean,Pounds (GBP),544.2,Male,Full Time,Residence Based
S12000038,1997,Mean,Pounds (GBP),383.3,Male,Full Time,Workplace Based
S12000029,2011,Median,Pounds (GBP),484.2,Male,All Patterns,Residence Based
S12000023,1997,Mean,Pounds (GBP),308.8,Male,Full Time,Workplace Based
S12000028,2009,Median,Pounds (GBP),568.3,Male,Full Time,Residence Based
S92000003,2011,Median,Pounds (GBP),479.8,Male,All Patterns,Residence Based
S12000014,2011,Mean,Pounds (GBP),537.3,Male,All Patterns,Residence Based
S12000014,1997,Median,Pounds (GBP),352.5,Male,Full Time,Workplace Based
S12000029,2009,Mean,Pounds (GBP),586.5,Male,Full Time,Residence Based
S12000050,2003,Median,Pounds (GBP),394.5,Male,Full Time,Residence Based
S12000045,1997,Median,Pounds (GBP),334,Male,Full Time,Workplace Based
S12000006,2011,Median,Pounds (GBP),405,Male,All Patterns,Residence Based
S12000042,2013,Median,Pounds (GBP),460.4,Male,All Patterns,Residence Based
S12000047,1998,Mean,Pounds (GBP),393.3,Male,Full Time,Workplace Based
S12000020,1998,Mean,Pounds (GBP),362.5,Male,Full Time,Workplace Based
S12000026,2009,Mean,Pounds (GBP),571.9,Male,Full Time,Residence Based
S12000036,2012,Median,Pounds (GBP),503.9,Male,All Patterns,Residence Based
S12000023,2010,Mean,Pounds (GBP),468.5,Male,All Patterns,Residence Based
S12000020,1998,Median,Pounds (GBP),332,Male,Full Time,Workplace Based
S12000008,2018,Median,Pounds (GBP),567.9,Male,All Patterns,Residence Based
S12000036,2006,Mean,Pounds (GBP),211.7,Male,Part Time,Residence Based
S12000017,2007,Median,Pounds (GBP),169.8,Male,Part Time,Residence Based
S12000036,2006,Median,Pounds (GBP),133,Male,Part Time,Residence Based
S12000033,2007,Mean,Pounds (GBP),622.6,Male,Full Time,Residence Based
S12000017,1998,Median,Pounds (GBP),350.9,Male,Full Time,Workplace Based
S12000021,1998,Mean,Pounds (GBP),390.7,Male,Full Time,Workplace Based
S12000021,1998,Median,Pounds (GBP),369.3,Male,Full Time,Workplace Based
S12000013,2011,Median,Pounds (GBP),421.9,Male,All Patterns,Residence Based
S12000034,2012,Median,Pounds (GBP),565,Male,All Patterns,Residence Based
S92000003,2004,Median,Pounds (GBP),427.1,Male,Full Time,Residence Based
S12000042,2011,Mean,Pounds (GBP),486.3,Male,All Patterns,Residence Based
S12000030,2009,Mean,Pounds (GBP),783.4,Male,Full Time,Residence Based
S12000017,1998,Mean,Pounds (GBP),388.5,Male,Full Time,Workplace Based
S12000036,2012,Mean,Pounds (GBP),610.3,Male,All Patterns,Residence Based
S12000018,2011,Median,Pounds (GBP),484.6,Male,All Patterns,Residence Based
S12000048,1998,Median,Pounds (GBP),334.9,Male,Full Time,Workplace Based
S12000039,2009,Mean,Pounds (GBP),535.9,Male,Full Time,Residence Based
S12000026,2009,Median,Pounds (GBP),466.4,Male,Full Time,Residence Based
S12000048,1998,Mean,Pounds (GBP),388.5,Male,Full Time,Workplace Based
S12000040,2007,Mean,Pounds (GBP),559.2,Male,Full Time,Workplace Based
S92000003,2004,Mean,Pounds (GBP),497.5,Male,Full Time,Residence Based
S12000018,1998,Median,Pounds (GBP),309.7,Male,Full Time,Workplace Based
S12000041,2013,Median,Pounds (GBP),461.1,Male,Full Time,Workplace Based
S12000036,2018,Median,Pounds (GBP),549.3,Male,All Patterns,Residence Based
S12000035,2013,Mean,Pounds (GBP),589.4,Male,Full Time,Workplace Based
S12000041,2006,Mean,Pounds (GBP),135.2,Male,Part Time,Residence Based
S12000036,2019,Median,Pounds (GBP),172.7,Male,Part Time,Residence Based
S12000034,2013,Median,Pounds (GBP),550.5,Male,Full Time,Workplace Based
S12000041,2013,Mean,Pounds (GBP),548.4,Male,Full Time,Workplace Based
S12000034,2013,Mean,Pounds (GBP),691.2,Male,Full Time,Workplace Based
S12000034,2018,Mean,Pounds (GBP),681.5,Male,All Patterns,Residence Based
S12000035,2018,Median,Pounds (GBP),468.9,Male,All Patterns,Residence Based
S12000026,2007,Mean,Pounds (GBP),467,Male,Full Time,Workplace Based
S12000036,2013,Mean,Pounds (GBP),735.5,Male,Full Time,Workplace Based
S12000049,2007,Median,Pounds (GBP),460.6,Male,Full Time,Workplace Based
S12000035,2013,Median,Pounds (GBP),544.6,Male,Full Time,Workplace Based
S12000049,2007,Mean,Pounds (GBP),552.5,Male,Full Time,Workplace Based
S12000036,2013,Median,Pounds (GBP),589.6,Male,Full Time,Workplace Based
S12000006,1999,Mean,Pounds (GBP),384.5,Male,Full Time,Workplace Based
S12000020,2017,Median,Pounds (GBP),511.5,Male,All Patterns,Residence Based
S12000038,2007,Median,Pounds (GBP),482,Male,Full Time,Workplace Based
S12000006,1999,Median,Pounds (GBP),328.4,Male,Full Time,Workplace Based
S12000023,1998,Mean,Pounds (GBP),398.5,Male,Full Time,Workplace Based
S12000017,2007,Mean,Pounds (GBP),194.2,Male,Part Time,Residence Based
S12000006,2019,Mean,Pounds (GBP),213.4,Male,Part Time,Residence Based
S12000006,2019,Median,Pounds (GBP),218,Male,Part Time,Residence Based
S12000008,1999,Median,Pounds (GBP),342.1,Male,Full Time,Workplace Based
S12000005,2018,Mean,Pounds (GBP),634.6,Male,All Patterns,Residence Based
S12000017,2017,Mean,Pounds (GBP),615.7,Male,All Patterns,Residence Based
S12000042,2019,Mean,Pounds (GBP),196.3,Male,Part Time,Residence Based
S12000038,2007,Mean,Pounds (GBP),534.7,Male,Full Time,Workplace Based
S12000008,1999,Mean,Pounds (GBP),387.7,Male,Full Time,Workplace Based
S12000005,1999,Median,Pounds (GBP),407.2,Male,Full Time,Workplace Based
S12000039,2007,Median,Pounds (GBP),498.5,Male,Full Time,Workplace Based
S12000030,2010,Mean,Pounds (GBP),690,Male,All Patterns,Residence Based
S12000048,2011,Mean,Pounds (GBP),520.1,Male,All Patterns,Residence Based
S12000036,2011,Median,Pounds (GBP),495,Male,All Patterns,Residence Based
S12000047,1999,Median,Pounds (GBP),368.6,Male,Full Time,Workplace Based
S12000010,2011,Median,Pounds (GBP),468.4,Male,All Patterns,Residence Based
S12000034,2013,Median,Pounds (GBP),579.6,Male,All Patterns,Residence Based
S12000014,1999,Mean,Pounds (GBP),394.8,Male,Full Time,Workplace Based
S12000018,1999,Mean,Pounds (GBP),369.2,Male,Full Time,Workplace Based
S12000019,1999,Median,Pounds (GBP),354,Male,Full Time,Workplace Based
S12000023,2011,Mean,Pounds (GBP),411.4,Male,All Patterns,Residence Based
S12000027,2009,Median,Pounds (GBP),546.7,Male,Full Time,Residence Based
S12000013,1998,Mean,Pounds (GBP),366,Male,Full Time,Workplace Based
S12000006,2008,Median,Pounds (GBP),484.8,Male,Full Time,Residence Based
S12000039,2007,Mean,Pounds (GBP),533.4,Male,Full Time,Workplace Based
S12000014,1999,Median,Pounds (GBP),343.5,Male,Full Time,Workplace Based
S12000021,1997,Median,Pounds (GBP),355.3,Male,Full Time,Workplace Based
S12000019,2011,Median,Pounds (GBP),452.2,Male,All Patterns,Residence Based
S12000026,1997,Mean,Pounds (GBP),347.7,Male,Full Time,Workplace Based
S12000019,1997,Mean,Pounds (GBP),323.6,Male,Full Time,Workplace Based
S12000019,1997,Median,Pounds (GBP),287.3,Male,Full Time,Workplace Based
S12000034,2008,Median,Pounds (GBP),553.9,Male,Full Time,Residence Based
S12000018,1997,Mean,Pounds (GBP),354.8,Male,Full Time,Workplace Based
S12000026,2007,Median,Pounds (GBP),474.3,Male,Full Time,Residence Based
S12000011,1999,Mean,Pounds (GBP),334.8,Male,Full Time,Workplace Based
S12000011,1999,Median,Pounds (GBP),259.1,Male,Full Time,Workplace Based
S12000018,2010,Median,Pounds (GBP),420.6,Male,All Patterns,Residence Based
S12000011,2009,Median,Pounds (GBP),635.3,Male,Full Time,Residence Based
S12000020,1997,Mean,Pounds (GBP),332.9,Male,Full Time,Workplace Based
S12000020,1997,Median,Pounds (GBP),288.7,Male,Full Time,Workplace Based
S12000041,2012,Median,Pounds (GBP),465,Male,All Patterns,Residence Based
S12000018,1998,Mean,Pounds (GBP),365.4,Male,Full Time,Workplace Based
S12000019,1998,Median,Pounds (GBP),306.2,Male,Full Time,Workplace Based
S12000019,1998,Mean,Pounds (GBP),349.7,Male,Full Time,Workplace Based
S12000006,2012,Median,Pounds (GBP),433.3,Male,All Patterns,Residence Based
S12000040,2006,Median,Pounds (GBP),447.8,Male,Full Time,Residence Based
S12000023,2007,Mean,Pounds (GBP),513.9,Male,Full Time,Workplace Based
S12000023,2007,Median,Pounds (GBP),461.1,Male,Full Time,Workplace Based
S12000039,2009,Median,Pounds (GBP),477.9,Male,Full Time,Residence Based
S12000050,2004,Median,Pounds (GBP),389.4,Male,Full Time,Residence Based
S12000028,2007,Mean,Pounds (GBP),507.9,Male,Full Time,Workplace Based
S12000030,2009,Median,Pounds (GBP),505.2,Male,Full Time,Residence Based
S12000030,1998,Mean,Pounds (GBP),399.7,Male,Full Time,Workplace Based
S12000047,1998,Median,Pounds (GBP),359.5,Male,Full Time,Workplace Based
S12000035,2012,Median,Pounds (GBP),458.6,Male,All Patterns,Residence Based
S12000040,2007,Median,Pounds (GBP),458.8,Male,Full Time,Workplace Based
S12000006,2012,Mean,Pounds (GBP),554.9,Male,All Patterns,Residence Based
S92000003,2006,Median,Pounds (GBP),463.3,Male,Full Time,Residence Based
S12000013,2007,Mean,Pounds (GBP),555.5,Male,Full Time,Workplace Based
S12000017,2016,Mean,Pounds (GBP),619.8,Male,All Patterns,Residence Based
S12000045,1999,Median,Pounds (GBP),382.5,Male,Full Time,Workplace Based
S12000019,2010,Mean,Pounds (GBP),573.4,Male,All Patterns,Residence Based
S12000019,1999,Mean,Pounds (GBP),374,Male,Full Time,Workplace Based
S12000020,1999,Mean,Pounds (GBP),379.4,Male,Full Time,Workplace Based
S12000020,1999,Median,Pounds (GBP),321.5,Male,Full Time,Workplace Based
S12000050,2003,Mean,Pounds (GBP),434.9,Male,Full Time,Residence Based
S12000040,2006,Mean,Pounds (GBP),525.1,Male,Full Time,Residence Based
S12000010,1999,Mean,Pounds (GBP),366.9,Male,Full Time,Workplace Based
S12000010,1999,Median,Pounds (GBP),332.3,Male,Full Time,Workplace Based
S12000048,2007,Median,Pounds (GBP),478.6,Male,Full Time,Workplace Based
S12000045,1999,Mean,Pounds (GBP),430.8,Male,Full Time,Workplace Based
S12000048,2007,Mean,Pounds (GBP),518.9,Male,Full Time,Workplace Based
S12000047,2005,Mean,Pounds (GBP),508.8,Male,Full Time,Workplace Based
S12000035,2006,Median,Pounds (GBP),492.5,Male,Full Time,Residence Based
S12000047,2005,Median,Pounds (GBP),442.8,Male,Full Time,Workplace Based
S12000023,2011,Mean,Pounds (GBP),597.9,Male,Full Time,Residence Based
S12000045,2005,Median,Pounds (GBP),431,Male,Full Time,Workplace Based
S12000017,2005,Mean,Pounds (GBP),486.1,Male,Full Time,Workplace Based
S12000035,2006,Mean,Pounds (GBP),543.8,Male,Full Time,Residence Based
S12000045,2005,Mean,Pounds (GBP),447.3,Male,Full Time,Workplace Based
S12000019,2011,Median,Pounds (GBP),482.5,Male,Full Time,Residence Based
S12000036,2006,Mean,Pounds (GBP),606.7,Male,Full Time,Residence Based
S92000003,2011,Mean,Pounds (GBP),618.9,Male,Full Time,Residence Based
S12000013,2005,Mean,Pounds (GBP),433.8,Male,Full Time,Workplace Based
S12000019,2011,Mean,Pounds (GBP),569.4,Male,Full Time,Residence Based
S12000011,2005,Median,Pounds (GBP),381.7,Male,Full Time,Workplace Based
S12000033,2005,Median,Pounds (GBP),543.3,Male,Full Time,Workplace Based
S12000011,2005,Mean,Pounds (GBP),432.1,Male,Full Time,Workplace Based
S12000014,2005,Mean,Pounds (GBP),475.3,Male,Full Time,Workplace Based
S12000005,2013,Median,Pounds (GBP),546.2,Male,Full Time,Residence Based
S12000036,2013,Mean,Pounds (GBP),748.5,Male,Full Time,Residence Based
S12000011,2005,Mean,Pounds (GBP),610.4,Male,Full Time,Residence Based
S12000041,2005,Mean,Pounds (GBP),444.3,Male,Full Time,Workplace Based
S12000041,2005,Median,Pounds (GBP),385.8,Male,Full Time,Workplace Based
S12000014,2005,Median,Pounds (GBP),456,Male,Full Time,Workplace Based
S12000036,2013,Median,Pounds (GBP),584.6,Male,Full Time,Residence Based
S12000006,2013,Median,Pounds (GBP),478.6,Male,Full Time,Residence Based
S12000006,2013,Mean,Pounds (GBP),577.6,Male,Full Time,Residence Based
S12000017,2005,Median,Pounds (GBP),395.8,Male,Full Time,Workplace Based
S12000005,2013,Mean,Pounds (GBP),638.3,Male,Full Time,Residence Based
S12000018,2013,Median,Pounds (GBP),516.1,Male,Full Time,Residence Based
S12000018,2013,Mean,Pounds (GBP),656.3,Male,Full Time,Residence Based
S12000011,2005,Median,Pounds (GBP),503.6,Male,Full Time,Residence Based
S12000006,2005,Mean,Pounds (GBP),461.5,Male,Full Time,Residence Based
S12000048,2011,Median,Pounds (GBP),508.2,Male,Full Time,Residence Based
S12000006,2003,Median,Pounds (GBP),358.6,Male,Full Time,Workplace Based
S12000041,2006,Mean,Pounds (GBP),510.3,Male,Full Time,Residence Based
S12000045,2006,Median,Pounds (GBP),521.5,Male,Full Time,Workplace Based
S12000006,2003,Mean,Pounds (GBP),418.2,Male,Full Time,Workplace Based
S12000021,2005,Median,Pounds (GBP),429,Male,Full Time,Workplace Based
S12000038,2011,Mean,Pounds (GBP),619.2,Male,Full Time,Residence Based
S12000041,2006,Median,Pounds (GBP),459,Male,Full Time,Residence Based
S12000008,2003,Median,Pounds (GBP),428.8,Male,Full Time,Workplace Based
S12000008,2006,Median,Pounds (GBP),426.4,Male,Full Time,Workplace Based
S12000020,2011,Mean,Pounds (GBP),592.9,Male,Full Time,Residence Based
S12000008,2006,Mean,Pounds (GBP),486,Male,Full Time,Workplace Based
S12000026,2011,Median,Pounds (GBP),486.7,Male,Full Time,Residence Based
S12000045,2006,Mean,Pounds (GBP),560.2,Male,Full Time,Workplace Based
S12000036,2006,Median,Pounds (GBP),514.8,Male,Full Time,Residence Based
S12000026,2011,Mean,Pounds (GBP),571.9,Male,Full Time,Residence Based
S12000013,2011,Median,Pounds (GBP),451.8,Male,Full Time,Residence Based
S12000033,2005,Mean,Pounds (GBP),660.6,Male,Full Time,Workplace Based
S12000021,2011,Median,Pounds (GBP),523,Male,Full Time,Residence Based
S12000010,2005,Median,Pounds (GBP),403.1,Male,Full Time,Workplace Based
S12000023,2005,Mean,Pounds (GBP),440.5,Male,Full Time,Workplace Based
S92000003,2011,Median,Pounds (GBP),519.6,Male,Full Time,Residence Based
S12000030,2004,Median,Pounds (GBP),375,Male,Full Time,Workplace Based
S12000040,2005,Median,Pounds (GBP),442.7,Male,Full Time,Residence Based
S12000021,2011,Mean,Pounds (GBP),558.6,Male,Full Time,Residence Based
S12000021,2005,Mean,Pounds (GBP),522.5,Male,Full Time,Workplace Based
S12000040,2004,Median,Pounds (GBP),409.1,Male,Full Time,Workplace Based
S12000048,2011,Mean,Pounds (GBP),579.7,Male,Full Time,Residence Based
S12000010,2005,Mean,Pounds (GBP),456.6,Male,Full Time,Workplace Based
S12000013,2011,Mean,Pounds (GBP),494.1,Male,Full Time,Residence Based
S12000040,2004,Mean,Pounds (GBP),484.9,Male,Full Time,Workplace Based
S12000033,2005,Median,Pounds (GBP),495.2,Male,Full Time,Residence Based
S12000030,2002,Median,Pounds (GBP),421.6,Male,Full Time,Workplace Based
S92000003,2013,Mean,Pounds (GBP),656.1,Male,Full Time,Residence Based
S12000039,2002,Mean,Pounds (GBP),433.8,Male,Full Time,Workplace Based
S12000041,2014,Median,Pounds (GBP),546.6,Male,Full Time,Residence Based
S12000035,2003,Median,Pounds (GBP),373.5,Male,Full Time,Workplace Based
S12000010,2006,Median,Pounds (GBP),460.4,Male,Full Time,Workplace Based
S92000003,2013,Median,Pounds (GBP),546.4,Male,Full Time,Residence Based
S12000030,2013,Median,Pounds (GBP),522.2,Male,Full Time,Residence Based
S12000033,2005,Mean,Pounds (GBP),629.3,Male,Full Time,Residence Based
S12000035,2005,Mean,Pounds (GBP),513.3,Male,Full Time,Workplace Based
S12000035,2005,Median,Pounds (GBP),480.9,Male,Full Time,Workplace Based
S12000030,2013,Mean,Pounds (GBP),829,Male,Full Time,Residence Based
S12000034,2005,Mean,Pounds (GBP),565.5,Male,Full Time,Residence Based
S12000034,2005,Median,Pounds (GBP),470,Male,Full Time,Residence Based
S12000030,2002,Mean,Pounds (GBP),521.6,Male,Full Time,Workplace Based
S12000045,2013,Mean,Pounds (GBP),858.9,Male,Full Time,Residence Based
S12000036,2002,Median,Pounds (GBP),466.9,Male,Full Time,Workplace Based
S12000035,2002,Mean,Pounds (GBP),449.8,Male,Full Time,Workplace Based
S12000005,2002,Median,Pounds (GBP),372.2,Male,Full Time,Workplace Based
S12000036,2002,Mean,Pounds (GBP),550.1,Male,Full Time,Workplace Based
S12000045,2005,Median,Pounds (GBP),532.8,Male,Full Time,Residence Based
S12000010,2005,Mean,Pounds (GBP),489.4,Male,Full Time,Residence Based
S12000045,2013,Median,Pounds (GBP),659.1,Male,Full Time,Residence Based
S12000039,2004,Mean,Pounds (GBP),457.1,Male,Full Time,Residence Based
S12000041,2014,Mean,Pounds (GBP),600,Male,Full Time,Residence Based
S12000035,2003,Mean,Pounds (GBP),406.5,Male,Full Time,Workplace Based
S12000010,2006,Mean,Pounds (GBP),524.9,Male,Full Time,Workplace Based
S12000039,2013,Median,Pounds (GBP),526.3,Male,Full Time,Residence Based
S12000039,2002,Median,Pounds (GBP),378.1,Male,Full Time,Workplace Based
S12000039,2013,Mean,Pounds (GBP),647.2,Male,Full Time,Residence Based
S12000005,2006,Mean,Pounds (GBP),548,Male,Full Time,Workplace Based
S12000019,2013,Median,Pounds (GBP),501.9,Male,Full Time,Residence Based
S12000020,2003,Mean,Pounds (GBP),429.3,Male,Full Time,Workplace Based
S12000020,2003,Median,Pounds (GBP),381.9,Male,Full Time,Workplace Based
S12000019,2003,Mean,Pounds (GBP),443.7,Male,Full Time,Workplace Based
S12000019,2003,Median,Pounds (GBP),431.5,Male,Full Time,Workplace Based
S12000005,2005,Median,Pounds (GBP),434.5,Male,Full Time,Residence Based
