area_code,reference_area,area_type,year,area,value,units
S12000011,East Renfrewshire,Local Authority,2015,Urban Vacant Land,19,Hectares
S12000011,East Renfrewshire,Local Authority,2010,Urban Vacant Land,17,Hectares
S12000011,East Renfrewshire,Local Authority,2006,Urban Vacant Land,19,Hectares
S12000011,East Renfrewshire,Local Authority,2005,Urban Vacant Land,20,Hectares
S12000011,East Renfrewshire,Local Authority,2012,Urban Vacant Land,15,Hectares
S12000011,East Renfrewshire,Local Authority,2019,Derelict Land,34,Hectares
S12000011,East Renfrewshire,Local Authority,2008,Urban Vacant Land,17,Hectares
S12000011,East Renfrewshire,Local Authority,2017,Urban Vacant Land,17,Hectares
S12000011,East Renfrewshire,Local Authority,2002,Urban Vacant Land,20,Hectares
S12000011,East Renfrewshire,Local Authority,2011,Urban Vacant Land,17,Hectares
S12000011,East Renfrewshire,Local Authority,2014,Urban Vacant Land,24,Hectares
S12000011,East Renfrewshire,Local Authority,2009,Derelict Land,37,Hectares
S12000011,East Renfrewshire,Local Authority,2003,Urban Vacant Land,11,Hectares
S12000011,East Renfrewshire,Local Authority,2004,Urban Vacant Land,13,Hectares
S12000011,East Renfrewshire,Local Authority,2009,Urban Vacant Land,16,Hectares
S12000011,East Renfrewshire,Local Authority,2007,Derelict Land,36,Hectares
S12000011,East Renfrewshire,Local Authority,2016,Urban Vacant Land,19,Hectares
S12000011,East Renfrewshire,Local Authority,2005,Derelict Land,40,Hectares
S12000011,East Renfrewshire,Local Authority,2003,Derelict Land,34,Hectares
S12000011,East Renfrewshire,Local Authority,2016,Derelict Land,36,Hectares
S12000011,East Renfrewshire,Local Authority,2013,Derelict Land,39,Hectares
S12000011,East Renfrewshire,Local Authority,2006,Derelict Land,38,Hectares
S12000011,East Renfrewshire,Local Authority,2004,Derelict Land,42,Hectares
S12000011,East Renfrewshire,Local Authority,2018,Derelict Land,34,Hectares
S12000011,East Renfrewshire,Local Authority,2008,Derelict Land,36,Hectares
S12000011,East Renfrewshire,Local Authority,2002,Derelict Land,19,Hectares
S12000011,East Renfrewshire,Local Authority,2019,Urban Vacant Land,16,Hectares
S12000011,East Renfrewshire,Local Authority,2011,Derelict Land,38,Hectares
S12000011,East Renfrewshire,Local Authority,2010,Derelict Land,37,Hectares
S12000011,East Renfrewshire,Local Authority,2014,Derelict Land,36,Hectares
S12000011,East Renfrewshire,Local Authority,2017,Derelict Land,34,Hectares
S12000011,East Renfrewshire,Local Authority,2012,Derelict Land,39,Hectares
S12000011,East Renfrewshire,Local Authority,2015,Derelict Land,36,Hectares
S12000011,East Renfrewshire,Local Authority,2007,Urban Vacant Land,20,Hectares
S12000011,East Renfrewshire,Local Authority,2018,Urban Vacant Land,18,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2013,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2017,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2009,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2012,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2017,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2014,Urban Vacant Land,9,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2011,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2014,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2008,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2006,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2002,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2015,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2005,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2003,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2007,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2010,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2004,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2009,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2013,Urban Vacant Land,9,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2012,Urban Vacant Land,9,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2004,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2011,Urban Vacant Land,9,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2018,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2006,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2005,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2008,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2015,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2007,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2003,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2010,Urban Vacant Land,9,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2018,Derelict Land,0,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2019,Derelict Land,0,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2016,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2019,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2016,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2002,Urban Vacant Land,10,Hectares
S12000014,Falkirk,Local Authority,2017,Derelict Land,210,Hectares
S12000014,Falkirk,Local Authority,2015,Derelict Land,108,Hectares
S12000014,Falkirk,Local Authority,2011,Derelict Land,79,Hectares
S12000014,Falkirk,Local Authority,2003,Derelict Land,139,Hectares
S12000014,Falkirk,Local Authority,2016,Derelict Land,163,Hectares
S12000014,Falkirk,Local Authority,2002,Derelict Land,149,Hectares
S12000014,Falkirk,Local Authority,2004,Derelict Land,133,Hectares
S12000014,Falkirk,Local Authority,2015,Urban Vacant Land,91,Hectares
S12000014,Falkirk,Local Authority,2019,Urban Vacant Land,64,Hectares
S12000014,Falkirk,Local Authority,2014,Urban Vacant Land,86,Hectares
S12000014,Falkirk,Local Authority,2012,Urban Vacant Land,80,Hectares
S12000014,Falkirk,Local Authority,2003,Urban Vacant Land,122,Hectares
S12000014,Falkirk,Local Authority,2014,Derelict Land,101,Hectares
S12000014,Falkirk,Local Authority,2010,Urban Vacant Land,81,Hectares
S12000014,Falkirk,Local Authority,2018,Derelict Land,208,Hectares
S12000014,Falkirk,Local Authority,2005,Derelict Land,106,Hectares
S12000014,Falkirk,Local Authority,2010,Derelict Land,75,Hectares
S12000014,Falkirk,Local Authority,2005,Urban Vacant Land,106,Hectares
S12000014,Falkirk,Local Authority,2009,Derelict Land,90,Hectares
S12000014,Falkirk,Local Authority,2006,Derelict Land,111,Hectares
S12000014,Falkirk,Local Authority,2009,Urban Vacant Land,83,Hectares
S12000014,Falkirk,Local Authority,2013,Urban Vacant Land,85,Hectares
S12000014,Falkirk,Local Authority,2006,Urban Vacant Land,97,Hectares
S12000014,Falkirk,Local Authority,2004,Urban Vacant Land,119,Hectares
S12000014,Falkirk,Local Authority,2012,Derelict Land,79,Hectares
S12000014,Falkirk,Local Authority,2011,Urban Vacant Land,80,Hectares
S12000014,Falkirk,Local Authority,2018,Urban Vacant Land,69,Hectares
S12000014,Falkirk,Local Authority,2008,Derelict Land,93,Hectares
S12000014,Falkirk,Local Authority,2013,Derelict Land,89,Hectares
S12000014,Falkirk,Local Authority,2007,Derelict Land,97,Hectares
S12000014,Falkirk,Local Authority,2017,Urban Vacant Land,75,Hectares
S12000014,Falkirk,Local Authority,2016,Urban Vacant Land,83,Hectares
S12000014,Falkirk,Local Authority,2007,Urban Vacant Land,50,Hectares
S12000014,Falkirk,Local Authority,2008,Urban Vacant Land,48,Hectares
S12000014,Falkirk,Local Authority,2019,Derelict Land,194,Hectares
S12000014,Falkirk,Local Authority,2002,Urban Vacant Land,136,Hectares
S12000017,Highland,Local Authority,2002,Urban Vacant Land,205,Hectares
S12000017,Highland,Local Authority,2003,Urban Vacant Land,193,Hectares
S12000017,Highland,Local Authority,2007,Urban Vacant Land,116,Hectares
S12000017,Highland,Local Authority,2010,Urban Vacant Land,81,Hectares
S12000017,Highland,Local Authority,2004,Urban Vacant Land,192,Hectares
S12000017,Highland,Local Authority,2009,Urban Vacant Land,89,Hectares
S12000017,Highland,Local Authority,2011,Urban Vacant Land,82,Hectares
