FeatureCode,DateCode,Measurement,Units,Value,Gender,Age,Outcome
S12000021,2004,Count,People,15,Male,0-19 years,Killed Or Seriously Injured
S12000013,2013,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S08000030,2007,Count,People,177,Male,All,Killed Or Seriously Injured
S12000013,2013,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000021,2004,Count,People,21,Male,20-39 years,Killed Or Seriously Injured
S08000030,2015,Count,People,91,Male,All,Killed Or Seriously Injured
S12000011,2013,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S08000017,2012,Count,People,20,Male,20-39 years,Killed Or Seriously Injured
S08000016,2012,Count,People,20,Male,40-59 years,Killed Or Seriously Injured
S08000017,2012,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S12000047,1996,Count,People,15,Male,60 years and over,Killed Or Seriously Injured
S12000045,1996,Count,People,2,Male,60 years and over,Killed Or Seriously Injured
S08000016,2012,Count,People,13,Male,20-39 years,Killed Or Seriously Injured
S12000039,1998,Count,People,17,Male,40-59 years,Killed Or Seriously Injured
S08000015,2012,Count,People,35,Male,40-59 years,Killed Or Seriously Injured
S08000015,2012,Count,People,10,Male,0-19 years,Killed Or Seriously Injured
S08000017,2012,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000041,1996,Count,People,10,Male,60 years and over,Killed Or Seriously Injured
S08000015,2012,Count,People,27,Male,20-39 years,Killed Or Seriously Injured
S08000030,2008,Count,People,176,Male,All,Killed Or Seriously Injured
S08000029,2012,Count,People,25,Male,40-59 years,Killed Or Seriously Injured
S08000029,2012,Count,People,15,Male,0-19 years,Killed Or Seriously Injured
S08000028,2012,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S08000028,2012,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S08000029,2012,Count,People,19,Male,20-39 years,Killed Or Seriously Injured
S08000030,2009,Count,People,157,Male,All,Killed Or Seriously Injured
S08000026,2012,Count,People,0,Male,0-19 years,Killed Or Seriously Injured
S08000028,2012,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S08000026,2012,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S08000026,2012,Count,People,2,Male,40-59 years,Killed Or Seriously Injured
S12000038,2011,Count,People,14,Male,20-39 years,Killed Or Seriously Injured
S12000038,2011,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
S12000028,1996,Count,People,6,Male,60 years and over,Killed Or Seriously Injured
S12000036,2011,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S12000036,2011,Count,People,32,Male,40-59 years,Killed Or Seriously Injured
S12000036,2011,Count,People,42,Male,20-39 years,Killed Or Seriously Injured
S12000042,2011,Count,People,9,Male,0-19 years,Killed Or Seriously Injured
S12000041,2011,Count,People,14,Male,20-39 years,Killed Or Seriously Injured
S12000042,2011,Count,People,10,Male,20-39 years,Killed Or Seriously Injured
S12000029,1996,Count,People,11,Male,60 years and over,Killed Or Seriously Injured
S12000041,2011,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S12000041,2011,Count,People,4,Male,0-19 years,Killed Or Seriously Injured
S12000019,2011,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S12000018,2011,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000023,1996,Count,People,1,Male,60 years and over,Killed Or Seriously Injured
S12000018,2011,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000020,2011,Count,People,4,Male,0-19 years,Killed Or Seriously Injured
S12000018,2011,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000039,2011,Count,People,4,Male,0-19 years,Killed Or Seriously Injured
