area_code,reference_area,area_type,year,sector,energy_type,value,units
S12000028,South Ayrshire,Local Authority,2012,Domestic,Coal,11.880346589,GWh
S12000028,South Ayrshire,Local Authority,2011,Domestic,Electricity,226.86802408,GWh
S12000028,South Ayrshire,Local Authority,2011,Domestic,Gas,707.31899056,GWh
S12000040,West Lothian,Local Authority,2005,Domestic,Electricity,318.44103,GWh
S12000047,Fife,Local Authority,2006,Domestic,Electricity,728.08452,GWh
S12000028,South Ayrshire,Local Authority,2011,Domestic,Petroleum Products,70.550240991,GWh
S12000028,South Ayrshire,Local Authority,2011,Domestic,Manufactured Fuels,5.4883858014,GWh
S12000028,South Ayrshire,Local Authority,2013,Domestic,Electricity,217.24842183,GWh
S12000047,Fife,Local Authority,2006,Domestic,Manufactured Fuels,16.543281871,GWh
S12000028,South Ayrshire,Local Authority,2013,Domestic,Coal,11.385434277,GWh
S12000047,Fife,Local Authority,2006,Domestic,Petroleum Products,134.796499,GWh
S12000028,South Ayrshire,Local Authority,2013,Domestic,Petroleum Products,72.312465064,GWh
S12000028,South Ayrshire,Local Authority,2013,Domestic,Gas,685.27079941,GWh
S12000028,South Ayrshire,Local Authority,2013,Domestic,Manufactured Fuels,6.1931983309,GWh
S12000028,South Ayrshire,Local Authority,2012,Domestic,Petroleum Products,70.292356801,GWh
S12000028,South Ayrshire,Local Authority,2012,Domestic,Gas,700.25790244,GWh
S12000028,South Ayrshire,Local Authority,2012,Domestic,Manufactured Fuels,5.4859293826,GWh
S12000028,South Ayrshire,Local Authority,2013,Domestic,Bioenergy & Wastes,25.831804388,GWh
S12000029,South Lanarkshire,Local Authority,2006,Domestic,Bioenergy & Wastes,29.386813512,GWh
S12000047,Fife,Local Authority,2007,Domestic,Gas,2909.55851,GWh
S12000039,West Dunbartonshire,Local Authority,2017,Domestic,Coal,1.5471137559,GWh
S12000039,West Dunbartonshire,Local Authority,2017,Domestic,Bioenergy & Wastes,14.530871819,GWh
S12000029,South Lanarkshire,Local Authority,2006,Domestic,Electricity,704.02205,GWh
S12000029,South Lanarkshire,Local Authority,2006,Domestic,Coal,23.403617847,GWh
S12000029,South Lanarkshire,Local Authority,2005,Domestic,Electricity,714.82632,GWh
S12000029,South Lanarkshire,Local Authority,2005,Domestic,Gas,2292.63353,GWh
S12000039,West Dunbartonshire,Local Authority,2017,Domestic,Electricity,142.1782701,GWh
S12000047,Fife,Local Authority,2007,Domestic,Electricity,720.46687,GWh
S12000029,South Lanarkshire,Local Authority,2005,Domestic,Petroleum Products,156.60217925,GWh
S12000029,South Lanarkshire,Local Authority,2005,Domestic,Manufactured Fuels,16.581948609,GWh
S12000029,South Lanarkshire,Local Authority,2007,Domestic,Electricity,696.71841,GWh
S12000047,Fife,Local Authority,2007,Domestic,Manufactured Fuels,15.190921606,GWh
S12000029,South Lanarkshire,Local Authority,2007,Domestic,Coal,26.828378762,GWh
S12000047,Fife,Local Authority,2007,Domestic,Petroleum Products,117.06943336,GWh
S12000029,South Lanarkshire,Local Authority,2007,Domestic,Petroleum Products,144.08229328,GWh
S12000029,South Lanarkshire,Local Authority,2007,Domestic,Gas,2258.83675,GWh
S12000029,South Lanarkshire,Local Authority,2007,Domestic,Manufactured Fuels,14.467694019,GWh
S12000029,South Lanarkshire,Local Authority,2006,Domestic,Petroleum Products,166.84827263,GWh
S12000029,South Lanarkshire,Local Authority,2006,Domestic,Gas,2241.38012,GWh
S12000029,South Lanarkshire,Local Authority,2006,Domestic,Manufactured Fuels,15.855979888,GWh
S12000029,South Lanarkshire,Local Authority,2007,Domestic,Bioenergy & Wastes,29.793796023,GWh
S12000028,South Ayrshire,Local Authority,2017,Domestic,Electricity,201.981968,GWh
S12000028,South Ayrshire,Local Authority,2017,Domestic,Coal,9.4893801066,GWh
S12000047,Fife,Local Authority,2007,Domestic,Coal,24.87384801,GWh
S12000028,South Ayrshire,Local Authority,2017,Domestic,Petroleum Products,62.603530747,GWh
S12000028,South Ayrshire,Local Authority,2017,Domestic,Gas,674.8657017,GWh
S12000028,South Ayrshire,Local Authority,2017,Domestic,Manufactured Fuels,5.6971686895,GWh
S12000028,South Ayrshire,Local Authority,2016,Domestic,Petroleum Products,63.781246756,GWh
S12000028,South Ayrshire,Local Authority,2016,Domestic,Gas,654.3808692,GWh
S12000028,South Ayrshire,Local Authority,2016,Domestic,Manufactured Fuels,5.2934246217,GWh
S12000028,South Ayrshire,Local Authority,2017,Domestic,Bioenergy & Wastes,29.608356719,GWh
S12000028,South Ayrshire,Local Authority,2018,Domestic,Petroleum Products,62.814919569,GWh
S12000028,South Ayrshire,Local Authority,2018,Domestic,Gas,672.7186851,GWh
S12000028,South Ayrshire,Local Authority,2018,Domestic,Manufactured Fuels,5.7692860869,GWh
S12000029,South Lanarkshire,Local Authority,2005,Domestic,Bioenergy & Wastes,28.13591282,GWh
S12000029,South Lanarkshire,Local Authority,2005,Domestic,Coal,25.967975685,GWh
S12000039,West Dunbartonshire,Local Authority,2017,Domestic,Manufactured Fuels,1.3796092268,GWh
S12000028,South Ayrshire,Local Authority,2018,Domestic,Coal,9.1823307546,GWh
S12000039,West Dunbartonshire,Local Authority,2017,Domestic,Petroleum Products,7.5944795161,GWh
S12000028,South Ayrshire,Local Authority,2018,Domestic,Bioenergy & Wastes,32.351184258,GWh
S12000039,West Dunbartonshire,Local Authority,2017,Domestic,Gas,496.1203984,GWh
S12000028,South Ayrshire,Local Authority,2018,Domestic,Electricity,194.6404594,GWh
S12000027,Shetland Islands,Local Authority,2018,Domestic,Bioenergy & Wastes,15.117558869,GWh
S12000047,Fife,Local Authority,2005,Domestic,Gas,2971.94183,GWh
S12000040,West Lothian,Local Authority,2007,Domestic,Coal,11.900669328,GWh
S12000040,West Lothian,Local Authority,2007,Domestic,Bioenergy & Wastes,18.042111414,GWh
S12000027,Shetland Islands,Local Authority,2018,Domestic,Electricity,95.15445554,GWh
