area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000047,Fife,Local Authority,2009,De-Registrations,Count,875,De-Registrations
S12000017,Highland,Local Authority,2009,De-Registrations,Count,730,De-Registrations
S12000011,East Renfrewshire,Local Authority,2009,De-Registrations,Count,260,De-Registrations
S12000014,Falkirk,Local Authority,2009,De-Registrations,Count,330,De-Registrations
S12000019,Midlothian,Local Authority,2009,De-Registrations,Count,190,De-Registrations
S12000020,Moray,Local Authority,2009,De-Registrations,Count,210,De-Registrations
S12000018,Inverclyde,Local Authority,2009,De-Registrations,Count,175,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2009,De-Registrations,Count,370,De-Registrations
S12000042,Dundee City,Local Authority,2009,De-Registrations,Count,320,De-Registrations
S12000036,City of Edinburgh,Local Authority,2009,De-Registrations,Count,1740,De-Registrations
S12000005,Clackmannanshire,Local Authority,2009,De-Registrations,Count,120,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2009,De-Registrations,Count,270,De-Registrations
S12000010,East Lothian,Local Authority,2009,De-Registrations,Count,250,De-Registrations
S12000008,East Ayrshire,Local Authority,2009,De-Registrations,Count,275,De-Registrations
S12000033,Aberdeen City,Local Authority,2008,De-Registrations,Count,670,De-Registrations
S12000034,Aberdeenshire,Local Authority,2008,De-Registrations,Count,655,De-Registrations
S12000040,West Lothian,Local Authority,2007,De-Registrations,Count,330,De-Registrations
S12000036,City of Edinburgh,Local Authority,2008,De-Registrations,Count,1475,De-Registrations
S12000005,Clackmannanshire,Local Authority,2008,De-Registrations,Count,115,De-Registrations
S12000041,Angus,Local Authority,2008,De-Registrations,Count,235,De-Registrations
S12000035,Argyll and Bute,Local Authority,2008,De-Registrations,Count,260,De-Registrations
S12000027,Shetland Islands,Local Authority,2007,De-Registrations,Count,50,De-Registrations
S12000028,South Ayrshire,Local Authority,2007,De-Registrations,Count,285,De-Registrations
S12000038,Renfrewshire,Local Authority,2007,De-Registrations,Count,365,De-Registrations
S12000026,Scottish Borders,Local Authority,2007,De-Registrations,Count,265,De-Registrations
S12000030,Stirling,Local Authority,2007,De-Registrations,Count,240,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2007,De-Registrations,Count,120,De-Registrations
S12000029,South Lanarkshire,Local Authority,2007,De-Registrations,Count,660,De-Registrations
S12000018,Inverclyde,Local Authority,2008,De-Registrations,Count,160,De-Registrations
S12000019,Midlothian,Local Authority,2008,De-Registrations,Count,170,De-Registrations
S12000047,Fife,Local Authority,2008,De-Registrations,Count,745,De-Registrations
S12000017,Highland,Local Authority,2008,De-Registrations,Count,650,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2008,De-Registrations,Count,65,De-Registrations
S12000021,North Ayrshire,Local Authority,2008,De-Registrations,Count,270,De-Registrations
S12000020,Moray,Local Authority,2008,De-Registrations,Count,215,De-Registrations
S12000008,East Ayrshire,Local Authority,2008,De-Registrations,Count,255,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2008,De-Registrations,Count,210,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2008,De-Registrations,Count,395,De-Registrations
S12000042,Dundee City,Local Authority,2008,De-Registrations,Count,290,De-Registrations
S12000011,East Renfrewshire,Local Authority,2008,De-Registrations,Count,210,De-Registrations
S12000014,Falkirk,Local Authority,2008,De-Registrations,Count,265,De-Registrations
S12000010,East Lothian,Local Authority,2008,De-Registrations,Count,215,De-Registrations
S12000050,North Lanarkshire,Local Authority,2006,De-Registrations,Count,555,De-Registrations
S12000050,North Lanarkshire,Local Authority,2005,De-Registrations,Count,615,De-Registrations
S12000050,North Lanarkshire,Local Authority,2008,De-Registrations,Count,650,De-Registrations
S12000050,North Lanarkshire,Local Authority,2007,De-Registrations,Count,515,De-Registrations
S12000050,North Lanarkshire,Local Authority,2015,Registrations,Count,1200,Registrations
S12000050,North Lanarkshire,Local Authority,2014,Registrations,Count,1120,Registrations
S12000050,North Lanarkshire,Local Authority,2004,De-Registrations,Count,655,De-Registrations
S12000050,North Lanarkshire,Local Authority,2016,Registrations,Count,1270,Registrations
S12000050,North Lanarkshire,Local Authority,2013,De-Registrations,Count,720,De-Registrations
S12000050,North Lanarkshire,Local Authority,2012,De-Registrations,Count,775,De-Registrations
S12000050,North Lanarkshire,Local Authority,2015,De-Registrations,Count,915,De-Registrations
S12000050,North Lanarkshire,Local Authority,2014,De-Registrations,Count,785,De-Registrations
S12000050,North Lanarkshire,Local Authority,2010,De-Registrations,Count,765,De-Registrations
S12000050,North Lanarkshire,Local Authority,2009,De-Registrations,Count,740,De-Registrations
S12000050,North Lanarkshire,Local Authority,2011,De-Registrations,Count,625,De-Registrations
S12000050,North Lanarkshire,Local Authority,2004,Registrations,Count,695,Registrations
S12000040,West Lothian,Local Authority,2017,De-Registrations,Count,560,De-Registrations
S12000050,North Lanarkshire,Local Authority,2006,Registrations,Count,755,Registrations
