area_code,reference_area,area_type,year,gender,working_pattern,population_group,measure_type,value,units
S12000005,Clackmannanshire,Local Authority,2005,All,Part Time,Workplace Based,Mean,183.2,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2000,All,Part Time,Workplace Based,Mean,126.6,Pounds (GBP)
S12000019,Midlothian,Local Authority,2000,All,Part Time,Workplace Based,Mean,152,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2010,All,All Patterns,Residence Based,Median,432.5,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,1997,All,Part Time,Workplace Based,Median,110,Pounds (GBP)
S12000010,East Lothian,Local Authority,1999,All,Part Time,Workplace Based,Mean,120.1,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2005,All,Part Time,Workplace Based,Median,150.1,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2009,All,All Patterns,Residence Based,Median,457.9,Pounds (GBP)
S12000019,Midlothian,Local Authority,2000,All,Part Time,Workplace Based,Median,119.5,Pounds (GBP)
S12000010,East Lothian,Local Authority,2005,All,Part Time,Workplace Based,Mean,151.4,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2015,All,All Patterns,Workplace Based,Mean,431.7,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2003,All,All Patterns,Residence Based,Mean,329.9,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2005,All,Part Time,Workplace Based,Mean,129,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2004,All,Part Time,Residence Based,Median,124.3,Pounds (GBP)
S12000042,Dundee City,Local Authority,2005,All,Part Time,Workplace Based,Mean,194,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2000,All,Part Time,Workplace Based,Median,111.8,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2010,All,All Patterns,Residence Based,Median,497.9,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2003,All,All Patterns,Residence Based,Mean,323.2,Pounds (GBP)
S12000041,Angus,Local Authority,2003,All,All Patterns,Residence Based,Mean,360.2,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2003,All,Part Time,Residence Based,Mean,143.6,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,1999,All,All Patterns,Workplace Based,Mean,268.2,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2007,All,All Patterns,Residence Based,Mean,384,Pounds (GBP)
S12000041,Angus,Local Authority,2003,All,All Patterns,Residence Based,Median,303.7,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,1997,All,Part Time,Workplace Based,Mean,117.7,Pounds (GBP)
S12000014,Falkirk,Local Authority,2002,All,All Patterns,Workplace Based,Mean,325,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2003,All,Part Time,Residence Based,Median,129.1,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2000,All,Part Time,Workplace Based,Mean,137.8,Pounds (GBP)
S12000020,Moray,Local Authority,2005,All,All Patterns,Residence Based,Mean,321.7,Pounds (GBP)
S12000042,Dundee City,Local Authority,2005,All,Part Time,Workplace Based,Median,164,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2003,All,Part Time,Residence Based,Median,140.1,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2005,All,All Patterns,Residence Based,Mean,348.3,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2005,All,Part Time,Workplace Based,Mean,170,Pounds (GBP)
S12000017,Highland,Local Authority,2004,All,Part Time,Workplace Based,Mean,147.9,Pounds (GBP)
S12000042,Dundee City,Local Authority,2004,All,Part Time,Workplace Based,Mean,170.5,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2004,All,Part Time,Residence Based,Median,143.9,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2004,All,Part Time,Residence Based,Mean,175.7,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2009,All,All Patterns,Residence Based,Mean,476.8,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2009,All,All Patterns,Residence Based,Median,421,Pounds (GBP)
S12000050,North Lanarkshire,Local Authority,2006,All,Part Time,Residence Based,Median,147.8,Pounds (GBP)
S12000010,East Lothian,Local Authority,2003,All,Part Time,Residence Based,Median,126.4,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2004,All,Part Time,Workplace Based,Mean,132,Pounds (GBP)
S12000014,Falkirk,Local Authority,2000,All,Part Time,Workplace Based,Mean,136.5,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2009,All,All Patterns,Residence Based,Median,340,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,1999,All,All Patterns,Workplace Based,Mean,295.2,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2012,All,All Patterns,Workplace Based,Mean,403.9,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2005,All,Part Time,Workplace Based,Median,109.7,Pounds (GBP)
S12000020,Moray,Local Authority,2012,All,All Patterns,Workplace Based,Median,331.9,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2012,All,All Patterns,Workplace Based,Median,382.9,Pounds (GBP)
S12000014,Falkirk,Local Authority,2004,All,Part Time,Workplace Based,Mean,159.5,Pounds (GBP)
