FeatureCode,DateCode,Measurement,Units,Value,Business Demography
S12000050,2011,Count,De-Registrations,625,De-Registrations
S12000050,2004,Count,Registrations,695,Registrations
S12000040,2017,Count,De-Registrations,560,De-Registrations
S12000050,2006,Count,Registrations,755,Registrations
S12000050,2005,Count,Registrations,810,Registrations
S12000030,2017,Count,De-Registrations,445,De-Registrations
S12000029,2017,Count,De-Registrations,1015,De-Registrations
S12000039,2017,Count,De-Registrations,225,De-Registrations
S12000050,2011,Count,Registrations,815,Registrations
S12000050,2010,Count,Registrations,800,Registrations
S12000050,2013,Count,Registrations,1090,Registrations
S12000050,2012,Count,Registrations,850,Registrations
S12000050,2008,Count,Registrations,810,Registrations
S12000050,2007,Count,Registrations,920,Registrations
S12000050,2009,Count,Registrations,760,Registrations
S12000049,2007,Count,De-Registrations,1680,De-Registrations
S12000049,2006,Count,De-Registrations,1810,De-Registrations
S12000049,2009,Count,De-Registrations,2235,De-Registrations
S12000049,2008,Count,De-Registrations,1835,De-Registrations
S12000049,2016,Count,Registrations,3290,Registrations
S12000049,2015,Count,Registrations,3185,Registrations
S12000049,2005,Count,De-Registrations,1915,De-Registrations
S12000049,2004,Count,De-Registrations,2150,De-Registrations
S12000049,2014,Count,De-Registrations,2345,De-Registrations
S12000049,2013,Count,De-Registrations,2165,De-Registrations
S12000049,2016,Count,De-Registrations,2820,De-Registrations
S12000049,2015,Count,De-Registrations,2705,De-Registrations
S12000049,2011,Count,De-Registrations,2095,De-Registrations
S12000049,2010,Count,De-Registrations,2235,De-Registrations
S12000049,2012,Count,De-Registrations,2630,De-Registrations
S12000049,2005,Count,Registrations,2170,Registrations
S12000049,2004,Count,Registrations,1780,Registrations
S12000049,2007,Count,Registrations,2185,Registrations
S12000049,2006,Count,Registrations,1825,Registrations
S12000050,2017,Count,Registrations,1120,Registrations
S12000050,2016,Count,De-Registrations,915,De-Registrations
S12000050,2017,Count,De-Registrations,1010,De-Registrations
S12000049,2012,Count,Registrations,2300,Registrations
S12000049,2011,Count,Registrations,2220,Registrations
S12000049,2014,Count,Registrations,2880,Registrations
S12000049,2013,Count,Registrations,2830,Registrations
S12000049,2009,Count,Registrations,1950,Registrations
S12000049,2008,Count,Registrations,2075,Registrations
S12000049,2010,Count,Registrations,2145,Registrations
S12000013,2017,Count,Registrations,90,Registrations
S12000020,2017,Count,Registrations,315,Registrations
S12000023,2017,Count,Registrations,75,Registrations
S12000021,2017,Count,Registrations,405,Registrations
S12000017,2017,Count,Registrations,905,Registrations
S12000047,2017,Count,Registrations,1350,Registrations
S12000019,2017,Count,Registrations,280,Registrations
S12000018,2017,Count,Registrations,215,Registrations
S12000028,2017,Count,Registrations,400,Registrations
S12000027,2017,Count,Registrations,90,Registrations
S12000030,2017,Count,Registrations,380,Registrations
S12000029,2017,Count,Registrations,1165,Registrations
S12000038,2017,Count,Registrations,650,Registrations
S12000048,2017,Count,Registrations,545,Registrations
S12000026,2017,Count,Registrations,325,Registrations
S12000035,2017,Count,Registrations,270,Registrations
S12000041,2017,Count,Registrations,370,Registrations
S12000005,2017,Count,Registrations,150,Registrations
S12000036,2017,Count,Registrations,2640,Registrations
S12000033,2017,Count,Registrations,1945,Registrations
S92000003,2017,Count,Registrations,21565,Registrations
S12000034,2017,Count,Registrations,1125,Registrations
S12000010,2017,Count,Registrations,360,Registrations
S12000045,2017,Count,Registrations,370,Registrations
S12000014,2017,Count,Registrations,480,Registrations
S12000011,2017,Count,Registrations,330,Registrations
S12000042,2017,Count,Registrations,460,Registrations
S12000006,2017,Count,Registrations,350,Registrations
S12000008,2017,Count,Registrations,420,Registrations
S12000019,2017,Count,De-Registrations,230,De-Registrations
S12000018,2017,Count,De-Registrations,200,De-Registrations
S12000013,2017,Count,De-Registrations,85,De-Registrations
