area_code,reference_area,area_type,reference_period,indicator,value,units
S12000020,Moray,Local Authority,2004/2005,Waste Arisings (Tonnes),68493,Tonnes
S12000020,Moray,Local Authority,2008/2009,Waste Arisings (Tonnes),63787,Tonnes
S12000020,Moray,Local Authority,2006/2007,Waste Arisings (Tonnes),65124,Tonnes
S12000020,Moray,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),23.6,ktonnes
S12000020,Moray,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.3,ktonnes
S12000020,Moray,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),39.7,ktonnes
S12000020,Moray,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),22.7,ktonnes
S12000020,Moray,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),21.3,ktonnes
S12000020,Moray,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),21.2,ktonnes
S12000021,North Ayrshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),646,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),594,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),666,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2004/2005,Waste Arisings (Tonnes),82423,Tonnes
S12000021,North Ayrshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),631,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2005/2006,Waste Arisings (Tonnes),87205,Tonnes
S12000020,Moray,Local Authority,2007/2008,Waste Arisings (Tonnes),64332,Tonnes
S12000021,North Ayrshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),608,Kg Per Capita
S12000020,Moray,Local Authority,2009/2010,Waste Arisings (Tonnes),64531,Tonnes
S12000021,North Ayrshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),647,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2007/2008,Waste Arisings (Tonnes),90444,Tonnes
S12000021,North Ayrshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),637,Kg Per Capita
S12000047,Fife,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),119.3,ktonnes
S12000019,Midlothian,Local Authority,2005/2006,Waste Arisings (Tonnes),52567,Tonnes
S12000019,Midlothian,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),688,Kg Per Capita
S12000019,Midlothian,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),33.8,ktonnes
S12000047,Fife,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),110.5,ktonnes
S12000019,Midlothian,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),669,Kg Per Capita
S12000019,Midlothian,Local Authority,2011/2012,Waste Arisings (Tonnes),48770,Tonnes
S12000019,Midlothian,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),680,Kg Per Capita
S12000019,Midlothian,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),21.7,ktonnes
S12000019,Midlothian,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),14.8,ktonnes
S12000047,Fife,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),96.1,ktonnes
S12000019,Midlothian,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),16.2,ktonnes
S12000020,Moray,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),727,Kg Per Capita
S12000020,Moray,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),23.1,ktonnes
S12000020,Moray,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),741,Kg Per Capita
S12000020,Moray,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),698,Kg Per Capita
S12000020,Moray,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),736,Kg Per Capita
S12000020,Moray,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),760,Kg Per Capita
S12000020,Moray,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),903,Kg Per Capita
S12000020,Moray,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),714,Kg Per Capita
S12000047,Fife,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),86.2,ktonnes
S12000047,Fife,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),88.3,ktonnes
S12000047,Fife,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),84.4,ktonnes
S12000047,Fife,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),699,Kg Per Capita
S12000023,Orkney Islands,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.5,ktonnes
S12000047,Fife,Local Authority,2010/2011,Waste Arisings (Tonnes),253991,Tonnes
S12000023,Orkney Islands,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.8,ktonnes
S12000023,Orkney Islands,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.7,ktonnes
S12000047,Fife,Local Authority,2011/2012,Waste Arisings (Tonnes),254914,Tonnes
S12000023,Orkney Islands,Local Authority,2011/2012,Waste Arisings (Tonnes),14992,Tonnes
S12000023,Orkney Islands,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),706,Kg Per Capita
S12000023,Orkney Islands,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),744,Kg Per Capita
S12000023,Orkney Islands,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.6,ktonnes
S12000023,Orkney Islands,Local Authority,2007/2008,Waste Arisings (Tonnes),14883,Tonnes
S12000023,Orkney Islands,Local Authority,2005/2006,Waste Arisings (Tonnes),13968,Tonnes
S12000023,Orkney Islands,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.2,ktonnes
S12000023,Orkney Islands,Local Authority,2004/2005,Waste Arisings (Tonnes),13771,Tonnes
S12000023,Orkney Islands,Local Authority,2010/2011,Waste Arisings (Tonnes),15604,Tonnes
S12000023,Orkney Islands,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),713,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2008/2009,Waste Arisings (Tonnes),72215,Tonnes
